test_name,tail,dependent_variable,independent_variable,independent_variable_levels,subset_factors,subset_levels,sample_size_1,sample_size_2,degrees_freedom,mean_1,mean_2,standard_error_1,standard_error_2,t_stats,r,beta,p_value,cohens_d,p_value_threshold,conf_interval_95_1,conf_interval_95_2
paired_ttest,two_sided,dist_RDM_avg_OFC,fit_phase,"initial,rational","model_config","1",1000,1000,999,0.493687588954935,0.564513242967804,0.00373147610189484,0.00277040750598473,-16.1653280130487,NaN,NaN,2.1638258843513e-52,-0.51119255644958,0.005,-0.0794233216425722,-0.0622279863831641
paired_ttest,two_sided,dist_CCM_avg_OFC,fit_phase,"initial,rational","model_config","1",1000,1000,999,3.06338851224417,3.93327327369169,0.0253769280272848,0.0336740849695286,-20.9707355663653,NaN,NaN,3.34547035435534e-81,-0.663152885988154,0.005,-0.951284430447892,-0.78848509244714
paired_ttest,two_sided,dist_CCM_avg_OFC,fit_phase,"rational,irrational","model_config","1",2000,2000,1999,3.93327327369168,2.67630185025321,0.0238052173158318,0.0132296041765591,45.2886964228763,NaN,NaN,7.99880286720146e-309,1.01268603813903,0.005,1.20254037359829,1.31140247327865
paired_ttest,two_sided,dist_CCM_same_OFC,fit_phase,"rational,irrational","model_config","1",2000,2000,1999,3.93327327369168,2.71119187140636,0.0238052173158318,0.0144512939068981,43.0878160349659,NaN,NaN,1.89632601466367e-287,0.963472856561893,0.005,1.16645809857202,1.27770470599863
paired_ttest,two_sided,dist_CCM_other_OFC,fit_phase,"rational,irrational","model_config","1",2000,2000,1999,3.93327327369168,2.64141182910007,0.0238052173158318,0.0135046297774807,46.3341093080332,NaN,NaN,5.64717033196545e-319,1.03606218089668,0.005,1.23718172926826,1.34654115991497
paired_ttest,two_sided,dist_RDM_avg,area,"OFC,dlPFC","model_config,fit_phase","1,irrational",2000,2000,1999,0.564513242967803,0.334210982954769,0.00195848388435961,0.000659652787714075,146.635031128806,NaN,NaN,0,3.27885897486807,0.005,0.227222111969173,0.233382408056897
paired_ttest,two_sided,dist_RDM_avg,area,"OFC,ACC","model_config,fit_phase","1,irrational",2000,2000,1999,0.564513242967803,0.500879547909914,0.00195848388435961,0.00213797812494922,133.665951654078,NaN,NaN,0,2.98886154175718,0.005,0.0627000593048107,0.0645673308109673
paired_ttest,two_sided,dist_RDM_avg,area,"dlPFC,ACC","model_config,fit_phase","1,irrational",2000,2000,1999,0.334210982954769,0.500879547909914,0.000659652787714075,0.00213797812494922,-92.2624899359584,NaN,NaN,0,-2.06305199270193,0.005,-0.170211307981986,-0.163125821928305
paired_ttest,two_sided,dist_CCM_avg,area,"OFC,dlPFC","model_config,fit_phase","1,irrational",2000,2000,1999,2.67630185025321,3.05308522563632,0.0132296041765591,0.0114639576358034,-84.9341710417872,NaN,NaN,0,-1.8991858006203,0.005,-0.385483398502962,-0.368083352263253
paired_ttest,two_sided,dist_CCM_avg,area,"OFC,ACC","model_config,fit_phase","1,irrational",2000,2000,1999,2.67630185025321,3.18691195709515,0.0132296041765591,0.018989367100584,-26.2991618608041,NaN,NaN,3.68644470024965e-131,-0.588067136720278,0.005,-0.548686747515379,-0.472533466168496
